Violation_Code,Health_Code,Violation_Summary,Category_Description,Violation_Template,Condition I,Condition II,Condition III,Condition IV,Condition V
05C,NYCHC 81.17(d),Food contact surface improperly constructed,"MAINTENANCE, CONSTRUCTION & PLACEMENT","Food contact surfaces improperly constructed or located, unacceptable material used in that <EQUIPMENT> <LOCATION> observed <CONDITION 48>. Corrective action: <CORRECTIVE ACTION 48>.  NYCHC 81.17(d) ","One food contact surface or piece of equipment improperly constructed, located and/or unacceptable material used. Example: painted shelves in a walk-in unit. Score: 7","Two food contact surfaces or pieces of equipment improperly constructed, located and/or unacceptable material used. Example: painted shelves in a walk-in unit and cutting board made from untreated wood. Score: 8","Three food contact surfaces or pieces of equipment improperly constructed, located, and/or unacceptable material used. Example: painted shelves of a walk-in unit, cutting board made from untreated wood and acidic foods placed in pewter bowl. Score: 9","Four or more contact surfaces or pieces of equipment improperly constructed, located, and/or unacceptable material used. Example: painted shelves in a walk-in unit, cutting board made from untreated wood, acidic food placed in pewter bowl and solder and flux used to repair food contact equipment. Score: 10","Failure to correct as pre-permit serious (PPS) on an initial inspection, re-inspection, or compliance inspection results in a follow up inspection, and/or closure. Inspector must call office to discuss closing or other enforcement measures. Score: 28"
05D,NYCHC 81.21(a),Handwashing facilities: no water/no cold water,HANDWASH/TOILET,Hand washing sink in or near <LOCATION> was observed <CONDITION 52>.  <BYPASS/KEYBOARD ENTRY>.  Corrective action: <CORRECTIVE ACTION 52>. NYCHC 81.21(a) ,,,,"Fully equipped hand wash sinks, to include soap and paper towels not provided or conveniently located in all food preparation areas. Score: 10","Failure to correct as pre-permit serious (PPS) on an initial inspection, re-inspection, or compliance inspection results in a follow up inspection, and/or closure. Inspector must call office to discuss closing or other enforcement measures. Score: 28"
05D,NYCHC 81.21(a),Handwashing facilities: not provided/no water,HANDWASH/TOILET,Hand washing sink <NOT PROVIDED/OBSTRUCTED> in or near <LOCATION>. <CONDITION 49>. <BYPASS/KEYBOARD ENTRY> Corrective action: <CORRECTIVE ACTION 49>. NYCHC 81.21(a),,,,"Fully equipped hand wash sinks, to include soap and paper towels not provided or conveniently located in all food preparation areas. Score: 10","Failure to correct as pre-permit serious (PPS) on an initial inspection, re-inspection, or compliance inspection results in a follow up inspection, and/or closure. Inspector must call office to discuss closing or other enforcement measures. Score: 28"
05D,NYCHC 81.21(b),Handwash facility: Soap/Hand Drying Device,HANDWASH/TOILET,Handwash sink at <LOCATION> was observed without <CONDITION 56>. NYCHC 81.21(b)  ,,,,"Fully equipped hand wash sinks, to include soap and paper towels not provided or conveniently located in all food preparation areas. Score: 10","Failure to correct as pre-permit serious (PPS) on an initial inspection, re-inspection, or compliance inspection results in a follow up inspection, and/or closure. Inspector must call office to discuss closing or other enforcement measures. Score: 28"
05E,NYCHC 81.22(a),Toilet facilities not provided for employees,HANDWASH/TOILET,Toilet facilities not provided for employees in that <CONDITION 154>. Corrective action: <CORRECTIVE ACTION 154>. NYCHC 81.22(a),,,,Toilet facility not provided for employees or for patrons when required. Score: 10,"Failure to correct as pre-permit serious (PPS) on an initial inspection, re-inspection, or compliance inspection results in a follow up inspection, and/or closure. Inspector must call office to discuss closing or other enforcement measures. Score: 28"
05E,NYCHC 81.22(b),Toilet facilities not provided for patrons,HANDWASH/TOILET,Toilet facilities not provided for patrons in that <CONDITION 50>. Corrective action: <CORRECTIVE ACTION 50>. NYCHC 81.22(b),,,,Toilet facility not provided for employees or for patrons when required. Score: 10,"Failure to correct as pre-permit serious (PPS) on an initial inspection, re-inspection, or compliance inspection results in a follow up inspection, and/or closure. Inspector must call office to discuss closing or other enforcement measures. Score: 28"
05F,NYCHC 81.18,Holding equipment,TEMPERATURE REGULATING,"An adequate number of  <KEYBOARD ENTRY> for proper storage, transportation, display and service of potentially hazardous foods at required temperatures not provided in that <CONDITION 51>. <KEYBOARD ENTRY>. <KEYBOARD ENTRY>. Corrective action: <CORRECTIVE ACTION 51>. NYCHC 81.18",,,,Refrigerated or hot holding equipment for PHFs not provided. Score: 10,"Failure to correct as pre-permit serious (PPS) on an initial inspection, re-inspection, or compliance inspection results in a follow up inspection, and/or closure. Inspector must call office to discuss closing or other enforcement measures. Score: 28"
05G,NYCHC 89.27(c),Enclosed service area not provided for MFV Commissary/Depot,"MAINTENANCE, CONSTRUCTION & PLACEMENT",Adequate service area not provided to permit access for cleaning of the largest mobile unit in that <KEYBOARD ENTRY>. NYCHC 89.27 (c) ,,,,"Separate, enclosed, properly equipped cleaning and service area not provided. Score: 10","Failure to correct as pre-permit serious (PPS) on an initial inspection, re-inspection, or compliance inspection results in a follow up inspection, and/or closure. Inspector must call office to discuss closing or other enforcement measures. Score: 28"
05G,NYCHC 89.27(c),Enclosed service area not provided for MFV Commissary/Depot,"MAINTENANCE, CONSTRUCTION & PLACEMENT",Enclosed service area not provided for the cleaning and servicing of mobile food units <KEYBOARD ENTRY>. NYCHC 89.27 (c) ,,,,"Separate, enclosed, properly equipped cleaning and service area not provided. Score: 10","Failure to correct as pre-permit serious (PPS) on an initial inspection, re-inspection, or compliance inspection results in a follow up inspection, and/or closure. Inspector must call office to discuss closing or other enforcement measures. Score: 28"
05H,NYCHC 81.29(a),Dishwashing facilities unavailable,WAREWASHING,"Facilities to wash, rinse and sanitize equipment, utensils and tableware not provided in that <CONDITION 72> <OPTIONAL INPUT 72> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 72>. NYCHC 81.29(a)",,,,"No facility available to wash, rinse, and sanitize utensils and equipment. Score: 10",Failure to correct.  Inspector must call office to discuss enforcement measures. Score: 28
05I,NYCHC 81.12(d)(5),Refrigeration unit not equipped with an electronic system,REDUCE OXYGEN PACKAGE,Refrigeration unit(s) <IN/AT/ON> <LOCATION> used to store <QUANTITY> <UNIT> <OF/BYPASS> <ROP> <FOOD>  is unable to <MONITOR/MEASURE> of the food because <CONDITION 172>.  <CORRECTIVE ACTION 172>   NYCHC 81.12(d)(5),,,,Refrigeration used to implement HACCP plan not equipped with an electronic system that continuously monitors time and temperature. Score: 10,Inspector must call office to discuss closing or other enforcement measures. Score: 28
06A,NYCHC 81.13,Personal cleanliness,FOOD WORKERS,Personal cleanliness inadequate in that food worker(s) observed <ACTIVITY> <LOCATION> with <CONDITION 53>. NYCHC 81.13,One food worker observed without clean outer garment or hair restraint. Score: 5,Two food workers observed without clean outer garments or hair restraints. Score: 6,Three food workers observed without clean outer garments or hair restraints. Score: 7,Four or more food workers observed without clean outer garments or hair restraints. Score: 8,
06A,NYCHC 81.13(b),Effective hair restraint,FOOD WORKERS,Effective hair restraint not worn to keep hair from contaminating food or food contact surfaces in that <#> <MALE/FEMALE> food worker(s) with <HAIR DESCRIPTION> observed <ACTIVITY> <LOCATION> <CONDITION 198>. NYCHC 81.13(b) ,One food worker observed without clean outer garment or hair restraint. Score: 5,Two food workers observed without clean outer garments or hair restraints. Score: 6,Three food workers observed without clean outer garments or hair restraints. Score: 7,Four or more food workers observed without clean outer garments or hair restraints. Score: 8,
06A,NYCHC 81.13(c),Clean outer garment,FOOD WORKERS,Outer garment soiled with possible contaminates in that <#> <MALE/FEMALE> food worker(s) observed <ACTIVITY> <LOCATION> with <TYPE OF GARMENT> that was <CONDITION 54>. NYCHC 81.13(c),One food worker observed without clean outer garment or hair restraint. Score: 5,Two food workers observed without clean outer garments or hair restraints. Score: 6,Three food workers observed without clean outer garments or hair restraints. Score: 7,Four or more food workers observed without clean outer garments or hair restraints. Score: 8,
06A,NYCHC 81.13(e),Fingernails,FOOD WORKERS,"Fingernails not trimmed, filed or maintained in that <#> <MALE/FEMALE> food worker(s) <WAS/WERE> observed working with exposed food <LOCATION>.  Food worker(s) <WAS/WERE> observed <ACTIVITY> with <CONDITION 210> while <FOOD> <WAS/WERE> <TYPE OF EXPOSED>. NYCHC 81.13(e) ",One food worker observed without clean outer garment or hair restraint. Score: 5,Two food workers observed without clean outer garments or hair restraints. Score: 6,Three food workers observed without clean outer garments or hair restraints. Score: 7,Four or more food workers observed without clean outer garments or hair restraints. Score: 8,
06B,NYCHC 81.13(g),Smoking/Tobacco,FOOD WORKERS,"Evidence of smoking, tobacco or electronic cigarette use by food worker observed in that <EVIDENCE OF SMOKING> <IN/AT/ON> <EQUIPMENT> <LOCATION>. NYCHC 81.13(g) ","One food worker observed eating, smoking, and/or drinking in food or ware washing areas or evidence of tobacco use, eating or drinking in food preparation, food storage, and dishwashing areas. Score: 5","Two food workers observed eating, smoking, and/or drinking in food or ware washing areas. Score: 6","Three food workers observed eating, smoking, and/or drinking in food or ware washing areas. Score: 7","Four or more food workers observed eating, smoking, and/or drinking in food or ware washing areas. Score: 8",
06B,NYCHC 81.13(h),Eating/drinking,FOOD WORKERS,Eating or drinking from an open container observed in that <OBSERVATION> <IN/AT/ON> <EQUIPMENT> <LOCATION>. NYCHC 81.13(h) ,"One food worker observed eating, smoking, and/or drinking in food or ware washing areas or evidence of tobacco use, eating or drinking in food preparation, food storage, and dishwashing areas. Score: 5","Two food workers observed eating, smoking, and/or drinking in food or ware washing areas. Score: 6","Three food workers observed eating, smoking, and/or drinking in food or ware washing areas. Score: 7","Four or more food workers observed eating, smoking, and/or drinking in food or ware washing areas. Score: 8",
06C,NYCHC 81.07(a),Food protection (Food not protected),FOOD PROTECTION,Food not protected at all times from potential sources of contamination in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> observed <CONDITION 207> <IN/AT/ON> <EQUIPMENT> <LOCATION>. NYCHC 81.07(a) ,"One food item not protected during storage, preparation, transportation, display or service. Score: 5","Two food items not protected during storage, preparation, transportation, display or service. Score: 6","Three food items not protected during storage, preparation, transportation, display or service. Score: 7","Four or more food items not protected during storage, preparation, transportation, display or service. Score: 8",
06C,NYCHC 81.07(d),Food protection (Floor storage),FOOD PROTECTION,Food not protected at all times from potential sources of contamination in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> observed <CONDITION 60> <IN/AT/ON> <EQUIPMENT> <LOCATION>. NYCHC 81.07(d) ,"One food item not protected during storage, preparation, transportation, display or service. Score: 5","Two food items not protected during storage, preparation, transportation, display or service. Score: 6","Three food items not protected during storage, preparation, transportation, display or service. Score: 7","Four or more food items not protected during storage, preparation, transportation, display or service. Score: 8",
06C,NYCHC 81.07(e),Food protection (displayed food),FOOD PROTECTION,Displayed food for consumption not protected at all times from potential sources of contamination in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> observed <IN/AT/ON> <EQUIPMENT> <LOCATION> <CONDITION 62> . NYCHC 81.07(e) ,"One food item not protected during storage, preparation, transportation, display or service. Score: 5","Two food items not protected during storage, preparation, transportation, display or service. Score: 6","Three food items not protected during storage, preparation, transportation, display or service. Score: 7","Four or more food items not protected during storage, preparation, transportation, display or service. Score: 8",
06C,NYCHC 81.07(f),Condiments/seasoning/sugar/dressings: held in inadequate containers,FOOD PROTECTION,"Condiments, seasoning, sugar and dressings not held in adequate containers in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> observed <CONDITION 63> <IN/AT/ON> <EQUIPMENT> <LOCATION>. NYCHC 81.07(f)","One food item not protected during storage, preparation, transportation, display or service. Score: 5","Two food items not protected during storage, preparation, transportation, display or service. Score: 6","Three food items not protected during storage, preparation, transportation, display or service. Score: 7","Four or more food items not protected during storage, preparation, transportation, display or service. Score: 8",
06C,NYCHC 81.07(i),Supplies or equipment stored under or near source(s) of contamination,FOOD PROTECTION,Supplies or equipment stored under or near source(s) of contamination in that <QUANTITY> <EQUIPMENT> <WAS/WERE> observed <CONDITION 203> <IN/AT/ON> <LOCATION>. NYCHC 81.07(i) ,"One food item not protected during storage, preparation, transportation, display or service. Score: 5","Two food items not protected during storage, preparation, transportation, display or service. Score: 6","Three food items not protected during storage, preparation, transportation, display or service. Score: 7","Four or more food items not protected during storage, preparation, transportation, display or service. Score: 8",
06C,NYCHC 81.07(q),"Unnecessary traffic through food prep area, food storage or ware washing areas",FOOD WORKERS,"Unnecessary traffic of persons through food preparation area, food storage area or ware washing area in that <KEYBOARD ENTRY> observed passing through <LOCATION>. NYCHC 81.07(q) ","One food item not protected during storage, preparation, transportation, display or service. Score: 5","Two food items not protected during storage, preparation, transportation, display or service. Score: 6","Three food items not protected during storage, preparation, transportation, display or service. Score: 7","Four or more food items not protected during storage, preparation, transportation, display or service. Score: 8",
06D,NYCHC 81.27(b),Cleaning/sanitizing equipment or utensils,"MAINTENANCE, CONSTRUCTION & PLACEMENT",Food contact surface including food contact surfaces on equipment or utensils <UNCLEAN/NOT MAINTAINED> in that  <QUANTITY> <EQUIPMENT> observed <CONDITION 64> <IN/AT/ON> <EQUIPMENT> <LOCATION>. NYCHC 81.27(b),One food contact surface not washed. rinsed or sanitized after any activity when contamination may occurred. Example: Meat slicer encrusted with old food debris. Score: 5,"Two food contact surfaces not washed, rinsed or sanitized after any activity when contamination may have occurred. Example: Meat slicer and cutting board encrusted with old food debris. Score: 6","Three food contact surfaces not properly washed, rinsed or sanitized after any activity when contamination may have occurred. Example: Meat slicer, wooden cutting board, and can opener encrusted with old food debris. Score: 7","Four or more food contact surfaces not properly washed, rinsed or sanitized after any activity when contamination may have occurred. Example: Meat slicer, wooden cutting board, can opener, and food preparation table encrusted with old food debris, and the interior of the ice machine observed with mold.. Score: 8",
06E,NYCHC 81.07(g),Ice dispensing utensil,UTENSILS,Ice for consumption not dispensed with adequate utensil in that <CONDITION 69> <IN/AT/ON> <EQUIPMENT> <LOCATION>. NYCHC 81.07(g) ,One sanitized piece of equipment or utensil improperly used or stored Score: 5,Two sanitized pieces of equipment or utensils improperly used or stored. Score: 6,Three sanitized pieces of  equipment or utensils improperly used or stored. Score: 7,Four or more sanitized pieces of equipment  or utensils improperly used or stored. Score: 8,
06E,NYCHC 81.07(h),Food dispensing utensil not provided,UTENSILS,Food dispensing utensil(s) equipped with handles <WAS/WERE> not provided for dispensing food in that <KEYBOARD ENTRY> NYCHC 81.07(h) ,One sanitized piece of equipment or utensil improperly used or stored Score: 5,Two sanitized pieces of equipment or utensils improperly used or stored. Score: 6,Three sanitized pieces of  equipment or utensils improperly used or stored. Score: 7,Four or more sanitized pieces of equipment  or utensils improperly used or stored. Score: 8,
06E,NYCHC 81.07(h),In-use food dispensing utensil,UTENSILS,Food or ice dispensing utensils improperly stored during intervals of intermittent use in that <EQUIPMENT> observed <CONDITION 68> and <IS/ARE> to be used for <KEYBOARD ENTRY> <IN/AT/ON> <EQUIPMENT> <LOCATION>. NYCHC 81.07(h) ,One sanitized piece of equipment or utensil improperly used or stored Score: 5,Two sanitized pieces of equipment or utensils improperly used or stored. Score: 6,Three sanitized pieces of  equipment or utensils improperly used or stored. Score: 7,Four or more sanitized pieces of equipment  or utensils improperly used or stored. Score: 8,
06F,NYCHC 81.27(c),Wiping cloth improperly sanitized.,CONTAMINATION,Wiping cloth(s) improperly <USED/STORED> in that <CONDITION 71> <IN/AT/ON> <LOCATION>. NYCHC 81.27(c) ,Two or more wiping cloths used to clean food contact surfaces not stored in sanitizing solution; or test kit to measure sanitizing solution to ensure proper sanitization of wiping cloths not provided; or sanitizer solution not at appropriate level to effectively remove contaminates from wiping cloths. Score: 5,Two or more wiping clothes used to clean food contact surfaces not stored in sanitizing solution; and the test kit to measure sanitizing solution to ensure proper sanitization of wiping cloths not provided; or wiping cloths used to clean food contact surfaces not stored in sanitizing solution and test kit to measure sanitizing solution to ensure proper sanitization of wiping cloths not provided. Score: 6,"Two or more wiping cloths used to clean food contact surfaces are not stored in sanitizing solutions, the test kit to measure sanitizing solution to ensure proper sanitization of wiping cloths not provided and sanitizer solution not at appropriate level to effectively remove contaminates from wiping cloths. Score: 7",,
06G,NYCHC 81.06(c),Approved HACCP plan not maintained on premises or HACCP plan not approved,REDUCE OXYGEN PACKAGE,HACCP plan <FOR/BYPASS> <PROCESS> <HACCP FOOD> <CONDITION 173> <CORRECTIVE ACTION 173> NYCHC 81.06(c),,,,Approved HACCP plan not maintained on premises. Score: 10,HACCP plan not approved. Inspector must call office to discuss enforcement measures. Score: 28
06H,NYCHC 81.06(b)(4),Records and logs not maintained on site,REDUCE OXYGEN PACKAGE,Records and logs not maintained to demonstrate that the approved HACCP plan has been properly implemented in that <CONDITION 174>   <CORRECTIVE ACTION 174> NYCHC 81.06(b)(4) ,,,,,Record and logs not maintained to show HACCP plan has been properly implemented. Inspector must call office to discuss corrective action or other enforcement measures. Score: 28
06I,NYCHC 81.12(d)(6),Food not labeled in accordance with the approved HACCP plan,REDUCE OXYGEN PACKAGE,Food not labeled in accordance with approved HACCP plan in that <ROP> <FOOD> <IN/AT/ON> <EQUIPMENT> <LOCATION> observed missing <ROP LABEL>.   <CORRECTIVE ACTION 175>  NYCHC 81.12(d)(6) ,,,,Food not labeled in accordance with HACCP plan Score: 10,Inspector must call office to discuss corrective action or other enforcement measures. Score: 28
07A,NYCHC 3.15(a),Obstruction of Department personnel,OBSTRUCTION,Department of Health and Mental Hygiene personnel prevented from carrying out duties assigned by the Department in that Sanitarian <CONDITION 4> by <KEYBOARD ENTRY>. Corrective action: <CORRECTIVE ACTION 4>. NYCHC 3.15 (a) ,,,,,Duties of an officer of the department interfered with or obstructed. Score: 28
08A,NYCHC 81.23(a),Facility not vermin-proof,PEST CONTROL,"Conditions conducive to the existence of pests in that <CONDITION 76> <LOCATION>. NYCHC 81.23(a)  Please note that the violation you have been issued for having conditions conducive the existence of pests is separate and distinct from the violation you have been issued for having pests and both may be sustained by the Hearings Division.  See DOHMH v. Harissa LLC, Dkt 0879213F0, Appeal Decision Oct. 8, 2013 at 1 and DOHMH v. Just Lorraine’s Place, LLC Dkt 2748012F1, Appeal Decision Apr. 9, 2013 at 4. available on nyls.edu/cityadmin.",,,"Doors and door thresholds not adequately pest proofed, and/or one or two openings in the facility façade (walls, floors, ceilings) and/or other condition conducive to pest entry or breeding. Score: 4","Doors and door thresholds not adequately pest proofed, with quality materials, and/or three or more openings in the facility façade (walls, floors, ceilings) or other condition conducive to pest entry or breeding.   Score: 5",
08B,NYCHC 81.24(a),Garbage receptacles,PEST CONTROL,Covered garbage receptacles not provided or inadequate in that <CONDITION 78> <LOCATION>. NYCHC 81.24(a),Tight fitting lid not provided for one  garbage can. Score: 2,Tight-fitting lids not provided for one garbage can and garbage grinder encrusted with old food. Score: 3,Tight-fitting lids not provided for two garbage cans and garbage grinder encrusted with old food. Score: 4,"Tight-fitting lids not provided for two garbage cans used to put garbage out overnight, garbage grinder encrusted with old food and cardboard boxes Score: 5",
08C,NYCHC 81.17(g),Toxic materials or hazardous substances improperly stored,PEST CONTROL,Toxic materials or hazardous substances improperly stored in that <QUANTITY> <UNIT> <of/BYPASS> <KEYBOARD ENTRY> <TYPE OF PESTICIDE> observed <IN/AT/ON> <EQUIPMENT> <LOCATION>.Corrective action: <CORRECTIVE ACTION 130>. NYCHC 81.17(g),"One prohibited pesticide, chemical or bait station not used in accordance with label or applicable laws. Score: 2","Two types of prohibited pesticides, chemicals or bait stations not used in accordance with label or applicable laws. Score: 3","Three types of prohibited pesticides, chemicals or bait stations not used in accordance with label or applicable laws. Score: 4","Four or more types of prohibited pesticides, chemicals or bait stations not used in accordance with label or applicable laws. Score: 5",Failure to correct. Inspector must call office to discuss enforcement measures. Score: 28
08C,NYCHC 81.17(g),Toxic materials or hazardous substances used,PEST CONTROL,Toxic materials or hazardous substances used or improperly used in accordance with label directions in that <QUANTITY> <UNIT> <of/BYPASS> <KEYBOARD ENTRY> <TYPE OF PESTICIDE> observed <IN/AT/ON> <EQUIPMENT> <LOCATION>.Corrective action: <CORRECTIVE ACTION 130>. NYCHC 81.17(g),"One prohibited pesticide, chemical or bait station not used in accordance with label or applicable laws. Score: 2","Two types of prohibited pesticides, chemicals or bait stations not used in accordance with label or applicable laws. Score: 3","Three types of prohibited pesticides, chemicals or bait stations not used in accordance with label or applicable laws. Score: 4","Four or more types of prohibited pesticides, chemicals or bait stations not used in accordance with label or applicable laws. Score: 5",Failure to correct. Inspector must call office to discuss enforcement measures. Score: 28
08C,NYCHC 81.23(d),Pesticide label violation,PEST CONTROL,Pesticide label violation observed in that <#> <BOXES/CONTAINERS/CANS> of <BRANDNAME ENTRY> <WAS/WERE> observed <METHOD OF MISLABELING> <in/at/on> <EQUIPMENT> <LOCATION>. NYCHC 81.23(d),"One prohibited pesticide, chemical or bait station not used in accordance with label or applicable laws. Score: 2","Two types of prohibited pesticides, chemicals or bait stations not used in accordance with label or applicable laws. Score: 3","Three types of prohibited pesticides, chemicals or bait stations not used in accordance with label or applicable laws. Score: 4","Four or more types of prohibited pesticides, chemicals or bait stations not used in accordance with label or applicable laws. Score: 5",Failure to correct. Inspector must call office to discuss enforcement measures. Score: 28
08C,NYCHC 81.23(d)(4),Open bait station observed,PEST CONTROL,The use of unprotected bait station observed in that <CONDITION 129> found <IN/AT/ON> <LOCATION>. NYCHC 81.23(d)(4),"One prohibited pesticide, chemical or bait station not used in accordance with label or applicable laws. Score: 2","Two types of prohibited pesticides, chemicals or bait stations not used in accordance with label or applicable laws. Score: 3","Three types of prohibited pesticides, chemicals or bait stations not used in accordance with label or applicable laws. Score: 4","Four or more types of prohibited pesticides, chemicals or bait stations not used in accordance with label or applicable laws. Score: 5",Failure to correct. Inspector must call office to discuss enforcement measures. Score: 28
09A,NYCHC 81.07(b),Canned food severely dented.,ADULTERATED,Canned food product observed dented and compromised rendering it unsuitable for consumption; defective can(s) were not segregated from other consumable foods in that <QUANTITY> <UNIT> can(s) <of/BYPASS> <ADJECTIVE> <FOOD> found <CONDITION 29> <STORAGE> <LOCATION>. . Corrective action: <CORRECTIVE ACTION 29>. NYCHC 81.07(b) ,1-6 cans dented. Example: one dented can of tomato paste stored on food storage shelf not segregated. Score: 2,7-12 cans dented. Example: seven dented cans of tomato paste stored on food storage shelf not segregated. Score: 3,13-24 cans dented. Example: seven dented cans of tomato paste and six dented cans of soy sauce stored on food storage shelf not segregated. Score: 4,"25 or more cans dented. Example: seven dented cans of tomato paste, ten dented cans of soy sauce, and five dented cans of tuna fish stored on food storage shelf not segregated. Score: 5",
09B,NYCHC 81.09(f),Thawing procedures improper,COOLING & REFRIGERATION,Thawing procedures improper in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> observed <THAWING PROCEDURE> <IN/AT/ON> <EQUIPMENT> <LOCATION>. NYCHC 81.09(f) ,One frozen food item improperly thawed. Example: whole chicken or beefsteak improperly thawed. Score: 2,Two frozen food items improperly thawed or the same type of food improperly thawed in two different areas. Example: two chickens and beefsteak improperly thawed or chicken breast improperly thawed in sink and chicken legs thawed on kitchen counter. Score: 3,"Three frozen food items improperly thawed or the same type of food improperly thawed in three different areas. Example: three chickens, beefsteak, and pork shoulder improperly thawed; or chicken breast improperly thawed in sink, chicken legs improperly thawed on kitchen counter, and chicken breast improperly thawed in bowl in food preparation area. Score: 4","Four or more frozen food item improperly thawed or the same type of food improperly thawed in four different areas. Example: four chickens, chicken breast, beefsteak, and shrimp improperly thawed; or chicken breast improperly thawed in sink, chicken legs improperly thawed on kitchen counter, chicken breast improperly thawed in bowl in food preparation area, and chicken wings improperly thawed near the deep fat fryer. Score: 5",
09C,NYCHC 81.17(d)(1),Food cutting surface improperly constructed/maintained,"MAINTENANCE, CONSTRUCTION & PLACEMENT",Food contact surface improperly constructed or maintained in that <QUANTITY> <EQUIPMENT> observed <CONDITION 66> <IN/AT/ON> <EQUIPMENT> <LOCATION>. NYCHC 81.17(d)(1) ,One food contact surface not properly maintained. Example: one cutting board discolored. Score: 2,Two food contact surfaces not properly maintained. Example: one cutting board discolored and one plastic cutting board pitted and scratched. Score: 3,Three food contact surfaces not properly maintained. Example: three cutting boards pitted and scratched. Score: 4,Four or more contact surfaces not properly maintained. Example: three cutting board pitted and scratched and four cutting boards at the bar area discolored. Score: 5,
10A,NYCHC 81.22(c),Toilet: not maintained,HANDWASH/TOILET,Toilet facility not properly maintained in that <TOILET FACILITY> <LOCATION> observed with <CONDITION 83>. NYCHC 81.22(c) ,"One toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door. Score: 2","Two toilet facilities not maintained and provided with toilet paper, waste receptacle and a self-closing door. Score: 3","Three toilet facilities not maintained and provided with toilet paper, waste receptacle and a self-closing door. Score: 4","Four or more toilet facilities not maintained and provided with toilet paper, waste receptacle and a self-closing door. Score: 5",
10A,NYCHC 81.22(c),Toilet: not properly supplied,HANDWASH/TOILET,Toilet facility not properly supplied in that <TOILET FACILITY> <LOCATION> observed <CONDITION 84>. NYCHC 81.22(c) ,"One toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door. Score: 2","Two toilet facilities not maintained and provided with toilet paper, waste receptacle and a self-closing door. Score: 3","Three toilet facilities not maintained and provided with toilet paper, waste receptacle and a self-closing door. Score: 4","Four or more toilet facilities not maintained and provided with toilet paper, waste receptacle and a self-closing door. Score: 5",
10B,NYCHC 81.20(a),Potable water: protection from backflow,PLUMBING,Potable water system not protected from backflow in that <CONDITION 34> not provided on <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 34>. NYCHC 81.20(a) ,"One backflow prevention device not installed, or equipment or floor not properly drained. Example: refrigerator condensation draining into a bucket. Score: 2","Two backflow prevention devices not installed, or equipment or floor not properly drained. Example: refrigerator condensation drained into a bucket and air conditioner draining onto sidewalk. Score: 3","Three backflow prevention devices not installed, or equipment or floor not properly drained. Example: refrigerator condensation draining into bucket, air conditioner draining onto sidewalk and no vacuum breaker provided on the hose connected to faucet. Score: 4","Four or more backflow prevention devices not installed or equipment or floor not properly drained. Example: refrigerator condensation draining into bucket, two air conditioners draining onto sidewalk and no vacuum breaker provided on the hose connected to faucet or ice machine. Score: 5","Sewage disposal system in disrepair or not functioning properly, 5A also cited. Score: 28"
10B,NYCHC 81.20(b),Condensation waste drainage,PLUMBING,Condensation or waste water pipes not properly discharged in that <CONDITION 144>. NYCHC 81.20(b),"One backflow prevention device not installed, or equipment or floor not properly drained. Example: refrigerator condensation draining into a bucket. Score: 2","Two backflow prevention devices not installed, or equipment or floor not properly drained. Example: refrigerator condensation drained into a bucket and air conditioner draining onto sidewalk. Score: 3","Three backflow prevention devices not installed, or equipment or floor not properly drained. Example: refrigerator condensation draining into bucket, air conditioner draining onto sidewalk and no vacuum breaker provided on the hose connected to faucet. Score: 4","Four or more backflow prevention devices not installed or equipment or floor not properly drained. Example: refrigerator condensation draining into bucket, two air conditioners draining onto sidewalk and no vacuum breaker provided on the hose connected to faucet or ice machine. Score: 5","Sewage disposal system in disrepair or not functioning properly, 5A also cited. Score: 28"
10B,NYCHC 81.20(b),Liquid waste drainage,PLUMBING,Liquid waste not carried to sewer or sewage disposal system so as to prevent contamination of the premises and its contents in that <CONDITION 85> <IN/AT/ON> <EQUIPMENT> <LOCATION> <BYPASS/WITHOUT AN AIR BREAK>. <NOTE 85> NYCHC 81.20(b) ,"One backflow prevention device not installed, or equipment or floor not properly drained. Example: refrigerator condensation draining into a bucket. Score: 2","Two backflow prevention devices not installed, or equipment or floor not properly drained. Example: refrigerator condensation drained into a bucket and air conditioner draining onto sidewalk. Score: 3","Three backflow prevention devices not installed, or equipment or floor not properly drained. Example: refrigerator condensation draining into bucket, air conditioner draining onto sidewalk and no vacuum breaker provided on the hose connected to faucet. Score: 4","Four or more backflow prevention devices not installed or equipment or floor not properly drained. Example: refrigerator condensation draining into bucket, two air conditioners draining onto sidewalk and no vacuum breaker provided on the hose connected to faucet or ice machine. Score: 5","Sewage disposal system in disrepair or not functioning properly, 5A also cited. Score: 28"
